id,otel_id,otel_ad,yorum
1,273,Kemer Suite Apart Otel,"Calisan ilgili, merkezde her yere yakin"
2,273,Kemer Suite Apart Otel,Bocek vardi tadilat gerekiyor
3,273,Kemer Suite Apart Otel,Personel guler yuzlu ve yardimci.
4,273,Kemer Suite Apart Otel,Her kullanim malzemesi cok eskimis ve temiz olmasina ragmen temizlik gozukmuyor cunku her seyin yenilenmesi gerekli.
5,275,Kose Konak Hotel,Ilk gelisim olmasina ragmen sanki her sene oraya gidiyormusum kendi evimdeymisim gibi  hissettim konumu cok iyiydi havuzun ve odalarin temizligi calisanlarin ilgi ve alakalarindan cok memnun kaldik yine gidecek olsam yine ayni yeri  tercih ederdim her sey icin cok tesekkur ederiz ;)
6,275,Kose Konak Hotel,Odalar tuvaletler tertemizdi cok ilgililerdi her gun temizlik yapildi.
