otel_id,positive_reviews,negative_reviews,total_reviews,score,accuracy
237,2.0,2.0,4.0,5.0,0.9924528301886792
242,6.0,3.0,9.0,6.666666666666666,0.9924528301886792
244,3.0,3.0,6.0,5.0,0.9924528301886792
246,2.0,2.0,4.0,5.0,0.9924528301886792
247,6.0,4.0,10.0,6.0,0.9924528301886792
250,2.0,4.0,6.0,3.333333333333333,0.9924528301886792
251,2.0,2.0,4.0,5.0,0.9924528301886792
254,2.0,2.0,4.0,5.0,0.9924528301886792
255,8.0,2.0,10.0,8.0,0.9924528301886792
257,2.0,2.0,4.0,5.0,0.9924528301886792
259,13.0,11.0,24.0,5.416666666666666,0.9924528301886792
262,6.0,4.0,10.0,6.0,0.9924528301886792
264,2.0,2.0,4.0,5.0,0.9924528301886792
265,0.0,2.0,2.0,0.0,0.9924528301886792
273,2.0,2.0,4.0,5.0,0.9924528301886792
280,0.0,1.0,1.0,0.0,0.9924528301886792
281,2.0,2.0,4.0,5.0,0.9924528301886792
283,13.0,15.0,28.0,4.642857142857143,0.9924528301886792
284,1.0,1.0,2.0,5.0,0.9924528301886792
286,5.0,5.0,10.0,5.0,0.9924528301886792
287,4.0,5.0,9.0,4.444444444444445,0.9924528301886792
289,10.0,6.0,16.0,6.25,0.9924528301886792
292,2.0,2.0,4.0,5.0,0.9924528301886792
295,0.0,1.0,1.0,0.0,0.9924528301886792
296,1.0,1.0,2.0,5.0,0.9924528301886792
297,2.0,2.0,4.0,5.0,0.9924528301886792
298,3.0,1.0,4.0,7.5,0.9924528301886792
303,1.0,1.0,2.0,5.0,0.9924528301886792
304,1.0,1.0,2.0,5.0,0.9924528301886792
306,5.0,4.0,9.0,5.555555555555555,0.9924528301886792
310,3.0,3.0,6.0,5.0,0.9924528301886792
312,2.0,2.0,4.0,5.0,0.9924528301886792
314,0.0,1.0,1.0,0.0,0.9924528301886792
320,4.0,0.0,4.0,10.0,0.9924528301886792
324,3.0,2.0,5.0,6.0,0.9924528301886792
330,2.0,2.0,4.0,5.0,0.9924528301886792
338,4.0,4.0,8.0,5.0,0.9924528301886792
345,2.0,2.0,4.0,5.0,0.9924528301886792
351,1.0,0.0,1.0,10.0,0.9924528301886792
356,1.0,1.0,2.0,5.0,0.9924528301886792
360,1.0,1.0,2.0,5.0,0.9924528301886792
365,1.0,0.0,1.0,10.0,0.9924528301886792
371,2.0,2.0,4.0,5.0,0.9924528301886792
374,1.0,1.0,2.0,5.0,0.9924528301886792
382,1.0,1.0,2.0,5.0,0.9924528301886792
390,1.0,1.0,2.0,5.0,0.9924528301886792
393,5.0,4.0,9.0,5.555555555555555,0.9924528301886792
403,1.0,0.0,1.0,10.0,0.9924528301886792
408,1.0,1.0,2.0,5.0,0.9924528301886792
413,2.0,3.0,5.0,4.0,0.9924528301886792
416,8.0,6.0,14.0,5.7142857142857135,0.9924528301886792
417,3.0,1.0,4.0,7.5,0.9924528301886792
419,1.0,0.0,1.0,10.0,0.9924528301886792
420,5.0,4.0,9.0,5.555555555555555,0.9924528301886792
422,9.0,8.0,17.0,5.294117647058823,0.9924528301886792
426,2.0,2.0,4.0,5.0,0.9924528301886792
431,1.0,0.0,1.0,10.0,0.9924528301886792
432,1.0,1.0,2.0,5.0,0.9924528301886792
441,1.0,1.0,2.0,5.0,0.9924528301886792
466,2.0,2.0,4.0,5.0,0.9924528301886792
468,1.0,1.0,2.0,5.0,0.9924528301886792
505,1.0,0.0,1.0,10.0,0.9924528301886792
511,1.0,0.0,1.0,10.0,0.9924528301886792
536,1.0,0.0,1.0,10.0,0.9924528301886792
544,1.0,1.0,2.0,5.0,0.9924528301886792
559,0.0,1.0,1.0,0.0,0.9924528301886792
561,1.0,1.0,2.0,5.0,0.9924528301886792
596,1.0,1.0,2.0,5.0,0.9924528301886792
597,1.0,1.0,2.0,5.0,0.9924528301886792
603,1.0,1.0,2.0,5.0,0.9924528301886792
614,1.0,1.0,2.0,5.0,0.9924528301886792
615,2.0,0.0,2.0,10.0,0.9924528301886792
638,1.0,0.0,1.0,10.0,0.9924528301886792
657,1.0,0.0,1.0,10.0,0.9924528301886792
705,1.0,1.0,2.0,5.0,0.9924528301886792
727,1.0,1.0,2.0,5.0,0.9924528301886792
734,1.0,1.0,2.0,5.0,0.9924528301886792
757,1.0,0.0,1.0,10.0,0.9924528301886792
785,1.0,1.0,2.0,5.0,0.9924528301886792
786,1.0,1.0,2.0,5.0,0.9924528301886792
788,1.0,0.0,1.0,10.0,0.9924528301886792
791,1.0,0.0,1.0,10.0,0.9924528301886792
792,0.0,1.0,1.0,0.0,0.9924528301886792
796,3.0,3.0,6.0,5.0,0.9924528301886792
802,1.0,1.0,2.0,5.0,0.9924528301886792
810,1.0,1.0,2.0,5.0,0.9924528301886792
817,2.0,1.0,3.0,6.666666666666666,0.9924528301886792
828,2.0,1.0,3.0,6.666666666666666,0.9924528301886792
829,1.0,1.0,2.0,5.0,0.9924528301886792
853,1.0,1.0,2.0,5.0,0.9924528301886792
858,1.0,0.0,1.0,10.0,0.9924528301886792
860,2.0,3.0,5.0,4.0,0.9924528301886792
882,4.0,4.0,8.0,5.0,0.9924528301886792
886,3.0,2.0,5.0,6.0,0.9924528301886792
898,6.0,6.0,12.0,5.0,0.9924528301886792
899,2.0,2.0,4.0,5.0,0.9924528301886792
917,1.0,1.0,2.0,5.0,0.9924528301886792
919,1.0,1.0,2.0,5.0,0.9924528301886792
921,2.0,2.0,4.0,5.0,0.9924528301886792
922,4.0,4.0,8.0,5.0,0.9924528301886792
925,6.0,6.0,12.0,5.0,0.9924528301886792
926,2.0,2.0,4.0,5.0,0.9924528301886792
927,14.0,15.0,29.0,4.827586206896552,0.9924528301886792
931,4.0,3.0,7.0,5.7142857142857135,0.9924528301886792
932,1.0,1.0,2.0,5.0,0.9924528301886792
939,11.0,13.0,24.0,4.583333333333333,0.9924528301886792
942,1.0,1.0,2.0,5.0,0.9924528301886792
945,4.0,0.0,4.0,10.0,0.9924528301886792
949,1.0,1.0,2.0,5.0,0.9924528301886792
955,4.0,3.0,7.0,5.7142857142857135,0.9924528301886792
956,1.0,2.0,3.0,3.333333333333333,0.9924528301886792
957,4.0,4.0,8.0,5.0,0.9924528301886792
