otel_id,positive_reviews,negative_reviews,total_reviews,score,accuracy
1,5.0,5.0,10.0,5.0,0.9924528301886792
3,2.0,2.0,4.0,5.0,0.9924528301886792
4,4.0,3.0,7.0,5.7142857142857135,0.9924528301886792
5,5.0,3.0,8.0,6.25,0.9924528301886792
6,4.0,2.0,6.0,6.666666666666666,0.9924528301886792
8,3.0,3.0,6.0,5.0,0.9924528301886792
9,1.0,0.0,1.0,10.0,0.9924528301886792
11,4.0,5.0,9.0,4.444444444444445,0.9924528301886792
12,8.0,9.0,17.0,4.705882352941177,0.9924528301886792
13,1.0,1.0,2.0,5.0,0.9924528301886792
14,2.0,1.0,3.0,6.666666666666666,0.9924528301886792
17,2.0,2.0,4.0,5.0,0.9924528301886792
18,5.0,3.0,8.0,6.25,0.9924528301886792
19,4.0,1.0,5.0,8.0,0.9924528301886792
20,4.0,4.0,8.0,5.0,0.9924528301886792
21,4.0,2.0,6.0,6.666666666666666,0.9924528301886792
22,2.0,2.0,4.0,5.0,0.9924528301886792
23,2.0,2.0,4.0,5.0,0.9924528301886792
24,11.0,12.0,23.0,4.782608695652174,0.9924528301886792
25,4.0,4.0,8.0,5.0,0.9924528301886792
26,15.0,12.0,27.0,5.555555555555555,0.9924528301886792
27,4.0,5.0,9.0,4.444444444444445,0.9924528301886792
28,4.0,3.0,7.0,5.7142857142857135,0.9924528301886792
29,5.0,2.0,7.0,7.142857142857143,0.9924528301886792
30,3.0,4.0,7.0,4.285714285714286,0.9924528301886792
31,6.0,2.0,8.0,7.5,0.9924528301886792
34,3.0,4.0,7.0,4.285714285714286,0.9924528301886792
35,2.0,0.0,2.0,10.0,0.9924528301886792
36,1.0,1.0,2.0,5.0,0.9924528301886792
37,2.0,2.0,4.0,5.0,0.9924528301886792
39,5.0,2.0,7.0,7.142857142857143,0.9924528301886792
40,1.0,1.0,2.0,5.0,0.9924528301886792
41,4.0,2.0,6.0,6.666666666666666,0.9924528301886792
42,4.0,5.0,9.0,4.444444444444445,0.9924528301886792
43,6.0,3.0,9.0,6.666666666666666,0.9924528301886792
44,3.0,3.0,6.0,5.0,0.9924528301886792
45,4.0,4.0,8.0,5.0,0.9924528301886792
47,3.0,4.0,7.0,4.285714285714286,0.9924528301886792
48,12.0,10.0,22.0,5.454545454545454,0.9924528301886792
49,4.0,3.0,7.0,5.7142857142857135,0.9924528301886792
52,5.0,3.0,8.0,6.25,0.9924528301886792
53,1.0,1.0,2.0,5.0,0.9924528301886792
55,4.0,4.0,8.0,5.0,0.9924528301886792
56,2.0,3.0,5.0,4.0,0.9924528301886792
58,1.0,1.0,2.0,5.0,0.9924528301886792
