"id","otel_ad","fiyat","imageURL","score","fiyat_araligi","bolge","hava_alanina_uzakligi","denize_uzakligi","plaj","iskele","a_la_carte_restoran","asansor","acik_restoran","kapali_restoran","acik_havuz","kapali_havuz","bedensel_engelli_odasi","bar","su_kaydiragi","balo_salonu","kuafor","otopark","market","sauna","doktor","beach_voley","fitness","canli_eglence","wireless_internet","animasyon","sorf","parasut","arac_kiralama","kano","spa","masaj","masa_tenisi","cocuk_havuzu","cocuk_parki"
2,Adin Beach Hotel,"110.880,00 TL",https://cdn.tatilsepeti.com/Files/Images/Tesis/03168/1050X700/tsr03168638271874820753098.jpg,"7,7",+33000,Antalya - Alanya-İncekum ,"105 km, Antalya HA ",Denize Sıfır,Mavi Bayraklı Özel Plaj,Var,"3","1","1","2","6","2","1","0","1","0","1","1","1","1","1","0","1","0","1","1","1","1","1","1","0","1","1","1","1"
3,Altın Yunus Hotel Spa – Çeşme,"46.966,50 TL",,"",+33000,"","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
71,Miramor Garden Resort,"28.243,80 TL",https://cdn.tatilsepeti.com/Files/Images/Tesis/13008/1050X700/tsr13008638162106087759717.jpg,"8","27000-29000",Antalya - Kemer-Kiriş ,"65 km, Antalya HA ","200 - 300 Metre Arası",Özel Plaj,Yok,"0","1","0","0","0","0","0","0","1","0","0","0","1","1","1","1","1","0","1","0","0","0","1","0","1","1","1","1","0"
106,Bijal Hotel,"505.050,00 TL",https://cdn.tatilsepeti.com/Files/Images/Tesis/13933/1050X700/tsr13933638540411604902827.jpg,,+33000,Antalya - Side ,"68 km, Antalya HA ",No Info,Mavi Bayraklı Plaj,Yok,"2","0","1","1","1","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","1","1","1","1","1"
38,Salmakis Resort Spa,"54.750,00 TL",https://cdn.tatilsepeti.com/Files/Images/Tesis/00460/1050X700/tsr00460637841466549658299.jpg,"7,7",+33000,Bodrum - Bardakçı ,"35 km, Milas HA ",Denize Sıfır,Mavi Bayraklı Özel Plaj,Var,"1","1","1","1","1","1","1","4","0","1","1","1","1","1","1","1","1","0","1","1","0","0","1","0","1","1","1","1","1"
29,Pine Beach Belek,"107.737,50 TL",https://cdn.tatilsepeti.com/Files/Images/Tesis/00296/1050X700/tsr00296637815547648491151.jpg,"8,6",+33000,Antalya - Belek-İleribaşı ,"33 km, Antalya HA ",Denize Sıfır,Mavi Bayraklı Özel Plaj,Yok,"3","1","1","1","3","3","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1"
51,Hedef Resort Hotel Spa,"41.554,80 TL",https://cdn.tatilsepeti.com/Files/Images/Tesis/01635/1050X700/tsr01635637329143917511249.jpg,"7,3",+33000,Antalya - Alanya-Konaklı ,"110 km, Antalya HA ","100 - 200 Metre Arası",Özel Plaj,Var,"0","1","1","1","2","1","1","3","1","0","1","0","0","1","1","1","0","0","1","1","0","0","1","0","1","1","1","1","1"
124,Port Nature Luxury Resort Hotel Spa,"90.650,00 TL",https://cdn.tatilsepeti.com/Files/Images/Tesis/04275/1050X700/tsr04275638464536601219010.jpg,"7,3",+33000,Antalya - Belek-Boğazkent ,"40 km, Antalya HA ",Denize Sıfır,Mavi Bayraklı Özel Plaj,Var,"5","1","1","1","2","1","1","8","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
62,Avena Resort Spa Hotel,"51.824,85 TL",https://cdn.tatilsepeti.com/Files/Images/Tesis/04576/1050X700/tsr04576637820882867217641.jpg,"7,5",+33000,Antalya - Alanya-Obagöl ,"125 km, Antalya HA ","100 - 200 Metre Arası",Özel Plaj,Yok,"1","1","1","1","1","0","1","3","1","0","1","0","1","1","1","1","1","0","1","1","0","0","1","0","1","1","1","1","1"
43,Susesi Luxury Resort,"127.400,00 TL",https://cdn.tatilsepeti.com/Files/Images/Tesis/01853/1050X700/tsr01853638500906663255726.jpg,"8,5",+33000,Antalya - Belek-İskele ,"35 km, Antalya HA ",Denize Sıfır,Mavi Bayraklı Özel Plaj,Var,"6","1","4","3","4","1","1","11","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1"
259,Munamar Park Otel,"23.557,47 TL",https://cdn.tatilsepeti.com/Files/Images/Tesis/11414/1050X700/tsr11414637878836508918118.jpg,"7,7","23000-25000",Marmaris - İçmeler-Altınsahil Mevkii ,"95 km, Milas HA ","200 - 300 Metre Arası",Halk Plajı,Yok,"0","0","1","1","1","0","0","1","0","0","0","1","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","1","1"
99,Wome Deluxe Hotel,"99.254,25 TL",https://cdn.tatilsepeti.com/Files/Images/Tesis/05645/1050X700/tsr05645637848585584633837.jpg,"7,9",+33000,Antalya - Alanya-Avsallar ,"70 km, GazipaşaHA",Denize Sıfır,Mavi Bayraklı Özel Plaj,Var,"1","1","1","1","12","1","0","4","1","0","0","0","1","1","1","0","1","1","1","1","0","1","1","0","1","1","1","1","1"
232,Prima Hotel Lara,"18.117,68 TL",https://cdn.tatilsepeti.com/Files/Images/Tesis/01730/1050X700/tsr01730638453328596109025.jpg,,"17000-19000",Antalya - Lara-Lara Yolu ,"15 km, Antalya HA ","300 - 400 Metre Arası",Mavi Bayraklı Halk Plajı,Var,"0","1","1","1","1","1","0","1","0","0","0","1","0","1","0","0","0","0","1","0","0","0","1","0","0","1","0","1","0"
113,Delta Hotels By Marriott Bodrum,"78.364,13 TL",https://cdn.tatilsepeti.com/Files/Images/Tesis/01812/1050X700/tsr01812638490567771256481.jpg,"7,7",+33000,Bodrum - Yalıkavak ,"60 km, BodrumHA",Denize Sıfır,Mavi Bayraklı Özel Plaj,Yok,"1","1","1","1","3","1","1","3","1","0","1","1","1","1","1","0","1","0","1","1","0","0","1","0","1","1","0","1","0"
