id,otel_ad,fiyat,imageurl,score,bolge,hava_alanina_uzakligi,denize_uzakligi,plaj,iskele,a_la_carte_restoran,asansor,acik_restoran,kapali_restoran,acik_havuz,kapali_havuz,bedensel_engelli_odasi,bar,su_kaydiragi,balo_salonu,kuafor,otopark,market,sauna,doktor,beach_voley,fitness,canli_eglence,wireless_internet,animasyon,sorf,parasut,arac_kiralama,kano,spa,masaj,masa_tenisi,cocuk_havuzu,cocuk_parki
329,Latanya Palm Hotel,7200.0,https://cdn.tatilsepeti.com/Files/TesisResim/02034/tsr02034637051789687763632.jpg,8.1,Antalya Antalya Merkez Muratpaşa ,8,750.0,-1.0,0,1,1,0,1,0,1,1,1,0,0,1,1,0,1,1,0,1,0,1,0,0,0,1,0,1,1,0,1,0
118,Tui Blue Pascha Bay,16632.0,https://cdn.tatilsepeti.com/Files/Images/Tesis/06248/1050X700/tsr06248638371269372016046.jpg,8.9,Antalya Alanya Konaklı ,130,0.0,2.0,1,2,0,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,0,1,1,0,0,1,0,1,1,1,1,1
119,Antique Roman Palace +16,11550.0,,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
731,Nills Stone House Otel,28920.3,https://cdn.tatilsepeti.com/Files/Images/Tesis/13087/1050X700/tsr13087638181054069108066.jpg,,Çeşme Çiftlikköy ,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
730,Neva Hotel Alaçatı,10431.0,https://cdn.tatilsepeti.com/Files/Images/Tesis/13306/1050X700/tsr13306638251838021739582.jpg,,Çeşme Alaçatı ,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
732,Nilus Butik Otel,5700.0,https://cdn.tatilsepeti.com/Files/Images/Tesis/13514/1050X700/tsr13514638494980152637457.jpg,,İzmir Urla ,47,750.0,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
438,Lupo Libero Hotel Spa,9830.6,https://cdn.tatilsepeti.com/Files/Images/Tesis/13477/1050X700/tsr13477638332414626192687.jpg,,Antalya Muratpaşa ,12,500.0,,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0
203,Haydarpasha Palace,18900.0,https://cdn.tatilsepeti.com/Files/Images/Tesis/05769/1050X700/tsr05769637778537859125466.jpg,7.6,Antalya Alanya Türkler ,65,,2.0,1,4,1,1,1,3,1,1,7,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1
330,Meriç Hotel Turunç,7481.2,https://cdn.tatilsepeti.com/Files/Images/Tesis/06091/1050X700/tsr06091637999692713283575.jpg,7.4,Marmaris Turunç ,115,100.0,2.0,0,0,0,1,1,1,0,0,2,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1
5,Alaiye Resort Spa,15744.0,https://cdn.tatilsepeti.com/Files/Images/Tesis/01806/1050X700/tsr01806637245514100239477.jpg,8.3,Antalya Alanya Türkler ,105,50.0,2.0,0,3,1,3,2,4,1,0,6,1,0,1,1,1,1,1,1,1,0,1,1,0,0,1,0,1,1,1,1,1
120,Astoria Hotel,11186.0,https://cdn.tatilsepeti.com/Files/Images/Tesis/02618/1050X700/tsr02618637347403451701140.jpg,7.1,Antalya Kemer Merkez ,55,200.0,2.0,0,0,1,1,1,1,1,1,2,0,0,0,0,0,1,1,0,1,0,1,1,0,0,0,0,1,1,1,1,1
439,Marbas Select Beach,3752.0,https://cdn.tatilsepeti.com/Files/Images/Tesis/03200/1050X700/tsr03200638245881293920318.jpg,7.5,Marmaris İçmeler ,110,0.0,2.0,1,1,1,1,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
31,Kahya Resort Aqua Spa,23680.0,https://cdn.tatilsepeti.com/Files/Images/Tesis/01974/1050X700/tsr01974638036862528872391.jpg,8.2,Antalya Alanya Konaklı ,110,,2.0,0,2,1,1,1,1,0,1,6,1,0,1,1,1,1,1,0,1,1,1,1,0,0,1,0,1,1,1,1,1
67,Sentido Kamelya Fulya Hotel,33526.6,https://cdn.tatilsepeti.com/Files/Images/Tesis/05938/1050X700/tsr05938637419954296971346.jpg,8.7,Antalya Side Çolaklı ,55,0.0,2.0,0,5,1,1,1,8,4,0,6,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1
733,Nixie Hotel Beach Yalıkavak - Adult Only,8550.9,https://cdn.tatilsepeti.com/Files/Images/Tesis/12338/1050X700/tsr12338637862432172569801.jpg,,Bodrum Yalıkavak ,50,0.0,2.0,1,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
237,Şah Inn Paradise,28000.0,https://cdn.tatilsepeti.com/Files/Images/Tesis/03173/1050X700/tsr03173638019605263101802.jpg,8.3,Antalya Kumluca Mavikent ,105,0.0,,1,1,0,1,1,9,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1
121,Celeste Bella Luxury Hotel Spa,14257.2,https://cdn.tatilsepeti.com/Files/Images/Tesis/12274/1050X700/tsr12274638435927549531501.jpg,,Bodrum Ortakent Yahşi Ortakent ,47,300.0,2.0,0,1,1,1,1,1,0,0,2,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0
6,Aletris Deluxe Hotel Spa,28124.0,https://cdn.tatilsepeti.com/Files/Images/Tesis/12074/1050X700/tsr12074638066289110933751.jpg,7.1,Antalya Side Çolaklı ,45,600.0,2.0,0,3,1,1,4,2,1,1,6,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0
238,The Marmara Bodrum,27827.8,https://cdn.tatilsepeti.com/Files/Images/Tesis/01053/1050X700/tsr01053637182456657444957.jpg,0.9,Bodrum Bodrum Merkez ,35,750.0,2.0,0,1,0,1,1,2,0,1,1,0,0,1,1,1,1,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0
239,Tui Magic Life Bodrum +16 Adult Only,26573.4,,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Kempinski Hotel Barbaros Bay,47376.0,https://cdn.tatilsepeti.com/Files/Images/Tesis/01716/1050X700/tsr01716637994395190318923.jpg,9.6,Bodrum Yalıçiftlik ,38,0.0,2.0,1,3,1,1,1,1,1,1,2,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1
204,Hillstone Bodrum Hotel Spa,32400.0,https://cdn.tatilsepeti.com/Files/Images/Tesis/11134/1050X700/tsr11134637329076169080451.jpg,8.8,Bodrum Bodrum Merkez ,28,750.0,2.0,0,1,1,1,1,4,1,0,3,0,1,1,1,1,1,1,0,1,0,1,0,0,0,1,0,1,1,0,1,0
